,ROI_0,ROI_6,ROI_14,ROI_30
270,-1.0,-1.0,-0.9491674716999826,-0.9491674716999826
271,-1.0,0.05147469157154383,2.807583688842768,3.00195549406203
272,-0.9952274772556704,-0.8921535373842407,-0.6516237702440664,-0.4962433397063867
273,-0.9949631077612808,-0.9681961728569297,-0.9259836153827267,-0.8700164310310912
274,0.0,inf,inf,inf
275,-0.9312018888857281,-0.7622888515916136,-0.6121321082126701,-0.41814809546838105
276,-0.988130805997883,-0.9312712293590191,-0.9300253218212489,-0.9246057866830631
277,0.0,inf,inf,inf
278,-1.0,-1.0,-1.0,-1.0
279,-1.0,-1.0,-1.0,-1.0
280,-0.9960996724033145,-0.9960996724033145,-0.9960996724033145,-0.9960996724033145
281,inf,inf,inf,inf
282,inf,inf,inf,inf
283,inf,inf,inf,inf
284,inf,inf,inf,inf
285,0.0,0.0,0.0,0.0
286,inf,inf,inf,inf
287,inf,inf,inf,inf
288,inf,inf,inf,inf
289,inf,inf,inf,inf
290,inf,inf,inf,inf
291,inf,inf,inf,inf
292,inf,inf,inf,inf
293,inf,inf,inf,inf
294,0.0,inf,inf,inf
295,inf,inf,inf,inf
296,inf,inf,inf,inf
297,inf,inf,inf,inf
298,inf,inf,inf,inf
299,inf,inf,inf,inf
300,inf,inf,inf,inf
301,inf,inf,inf,inf
302,inf,inf,inf,inf
303,inf,inf,inf,inf
304,inf,inf,inf,inf
305,inf,inf,inf,inf
306,inf,inf,inf,inf
307,inf,inf,inf,inf
308,inf,inf,inf,inf
309,inf,inf,inf,inf
310,0.0,inf,inf,inf
311,inf,inf,inf,inf
312,inf,inf,inf,inf
313,inf,inf,inf,inf
314,inf,inf,inf,inf
315,0.0,inf,inf,inf
316,inf,inf,inf,inf
317,inf,inf,inf,inf
318,inf,inf,inf,inf
319,0.0,inf,inf,inf
320,inf,inf,inf,inf
321,inf,inf,inf,inf
322,inf,inf,inf,inf
323,inf,inf,inf,inf
324,inf,inf,inf,inf
325,inf,inf,inf,inf
326,inf,inf,inf,inf
327,inf,inf,inf,inf
328,inf,inf,inf,inf
329,0.0,0.0,0.0,inf
330,inf,inf,inf,inf
331,inf,inf,inf,inf
