,chanel,week_3,week_2,week_1,week_52,week_51
39,Beeclick_adult,41388.0,48286.0,48286.0,48286.0,34490.0
40,Beeclick_mobile,262345.0,306076.0,306079.0,306082.0,218628.0
41,BrowserLink,2388.0,2786.0,2775.0,2676.0,1822.0
42,CPAFull,5160.0,6020.0,6020.0,6020.0,4300.0
43,CPAFull_email,6264.0,7308.0,7308.0,7308.0,5220.0
44,CPAFull_mobile,6810.0,7945.0,7945.0,7945.0,5675.0
45,CPAPlus,10920.0,12740.0,12740.0,12740.0,9100.0
46,CPATrend,370542.0,432306.0,432303.0,432308.0,308791.0
47,CPATrend_mobile,94908.0,110726.0,110726.0,110726.0,79090.0
48,CPAmatica,691961.0,807289.0,807289.0,807282.0,576630.0
49,CPAmatica mix,114844.0,133983.0,133983.0,133986.0,95705.0
50,CPAmatica9,22326.0,26047.0,26046.0,26047.0,18605.0
51,CPAmatica_email,748080.0,872710.0,872664.0,872620.0,623272.0
52,CPAmatica_email_mobile,1544599.0,1802021.0,1802000.0,1802014.0,1287120.0
53,CPAmatica_mix,,,,,
54,CPAmatica_mobile,1675319.0,1954529.0,1954523.0,1954494.0,1396030.0
55,CPL CEO,34374.0,40103.0,40103.0,40103.0,28645.0
56,Clickbooth,808902.0,943717.0,943702.0,943675.0,674040.0
57,Clickbooth_US,68874.0,80353.0,80353.0,80353.0,57395.0
58,Clickbooth_email,93207.0,108731.0,108728.0,108702.0,77638.0
59,Clickbooth_mobile,78732.0,91854.0,91854.0,91854.0,65610.0
60,Clickbooth_nordic,3756.0,4382.0,4382.0,4382.0,3130.0
61,Clickbooth_rier1,12936.0,15092.0,15092.0,15084.0,10770.0
62,Clickbooth_tier1,28788.0,33586.0,33586.0,33586.0,23990.0
63,Clickdealer,154057.0,179738.0,179735.0,179739.0,128377.0
64,Clickdealer_mobile,56862.0,66339.0,66339.0,66339.0,47385.0
65,Crakrevenue_email,2730.0,3185.0,3185.0,3185.0,2255.0
66,DBM,973616.0,1135843.0,1134224.0,1120635.0,790661.0
67,DBM VB,90.0,105.0,105.0,105.0,75.0
68,DBM_AU/NZ,49836.0,58132.0,58134.0,58135.0,41525.0
69,DBM_AU/NZ_mob,60840.0,70984.0,70987.0,70987.0,50705.0
70,DBM_CA,140521.0,163958.0,163853.0,163075.0,115617.0
71,DBM_CA_mob,195024.0,227528.0,227528.0,227528.0,162517.0
72,DBM_FR/GE,87798.0,102429.0,102429.0,102431.0,73165.0
73,DBM_FR/GE_mob,108308.0,126358.0,126350.0,126352.0,90256.0
74,DBM_Scand,122665.0,143072.0,142818.0,140682.0,98474.0
75,DBM_Scand_mob,38256.0,44632.0,44572.0,43992.0,30919.0
76,DBM_UK,107580.0,125504.0,125304.0,123887.0,87850.0
77,DBM_UK_mob,314711.0,367159.0,367155.0,367118.0,262210.0
78,DBM_mob,1375415.0,1604650.0,1604661.0,1604617.0,1146139.0
79,DigitalRaves,990.0,1155.0,1155.0,1155.0,825.0
80,DigitalReves,28740.0,33530.0,33530.0,33530.0,23950.0
81,EXO AUNZ_Mob,240.0,280.0,280.0,280.0,200.0
